area,species,count,area_km2,source
cairns,human,150041,1689,2018 census data
cairns,dog,30636.57171,1689,(20.42% people have a dog) based ratio of total #dogs in australia:total number people (from https://animalmedicinesaustralia.org.au/wp-content/uploads/2019/10/ANIM001-Pet-Survey-Report19_v1.7_WEB_high-res.pdf)
cairns,cat,22605.77722,1689,(15.1% of people have a cat) based ratio of total #cats in australia:total # people (from https://animalmedicinesaustralia.org.au/wp-content/uploads/2019/10/ANIM001-Pet-Survey-Report19_v1.7_WEB_high-res.pdf)
cairns,horse,84,1689,Table 3: Ward et al 1996. Estimated based on average property size and average number of horses on a property
cairns,bird,37200,1689,only included Jan-March (peak mosquito biting time/human RRV cases). And included all count data from birdlife https://birdata.birdlife.org.au/explore#area_id=8954&area_layer_id=7&map=-27.3416354_153.0740909_10&months=1%2C2%2C3
cairns,possum,15,20,wildnet confirmed counts - 20km2 based on survey size
cairns,macropod,38,20,wildnet confirmed counts - 20km2 based on survey size
cairns,flying_fox,800,1689,https://www.data.qld.gov.au/dataset/flying-fox-monitoring-program/resource/e0446bcf-7816-4df4-b1b0-79fe69b10073?truncate=30&inner_span=True
cairns,cattle,140973,8944,https://www.mla.com.au/globalassets/mla-corporate/prices--markets/documents/trends--analysis/fast-facts--maps/2020/mla-cattle-herd-population-changes-map-2018-19.pdf
cairns,pig,0,1689,
cairns,rabbit,,,
cairns,sheep,2123,8944,https://www.mla.com.au/globalassets/mla-corporate/prices--markets/documents/trends--analysis/fast-facts--maps/2020/mla-sheep-numbers-map-2020-at-june-2019.pdf
brisbane,human,1231605,1343,2018 census data
brisbane,dog,251478.9617,1343,(20.42% people have a dog) based ratio of total #dogs in australia:total number people (from https://animalmedicinesaustralia.org.au/wp-content/uploads/2019/10/ANIM001-Pet-Survey-Report19_v1.7_WEB_high-res.pdf)
brisbane,cat,185558.5357,1343,(15.1% of people have a cat) based ratio of total #cats in australia:total # people (from https://animalmedicinesaustralia.org.au/wp-content/uploads/2019/10/ANIM001-Pet-Survey-Report19_v1.7_WEB_high-res.pdf)
brisbane,horse,279,1343,Table 3: Ward et al 1996. Estimated based on average property size and average number of horses on a property
brisbane,bird,97747,1343,only included Jan-March (peak mosquito biting time/human RRV cases). And included all count data from birdlife https://birdata.birdlife.org.au/explore#area_id=8954&area_layer_id=7&map=-27.3416354_153.0740909_10&months=1%2C2%2C3
brisbane,possum,432,20,wildnet confirmed counts - 20km2 based on survey size
brisbane,macropod,139,20,wildnet confirmed counts - 20km2 based on survey size
brisbane,flying_fox,26049,1343,https://www.data.qld.gov.au/dataset/flying-fox-monitoring-program/resource/e0446bcf-7816-4df4-b1b0-79fe69b10073?truncate=30&inner_span=True
brisbane,cattle,304056,22420,https://www.mla.com.au/globalassets/mla-corporate/prices--markets/documents/trends--analysis/fast-facts--maps/2020/mla-cattle-herd-population-changes-map-2018-19.pdf
brisbane,pig,0,1689,
brisbane,rabbit,,,
brisbane,sheep,8873,22420,https://www.mla.com.au/globalassets/mla-corporate/prices--markets/documents/trends--analysis/fast-facts--maps/2020/mla-sheep-numbers-map-2020-at-june-2019.pdf
