mos_species,strain,dose,unit,day,perc_transm,num_transmitting,total_transmit_tested,method,exp,ref
ae_aegypti,T48,5.9,SMIC,4,69,11,16,suckling mouse,1,"Kay, B.; Carley, J.; Fanning, I.; Filippich, C. Quantitative studies of the vector competence of Aedes aegypti, Culex annulirostris and other mosquitoes (Diptera: Culicidae) with Murray Valley encephalitis and other Queensland arboviruses. Journal of Medical Entomology 1979, 16, 59-66."
ae_alternans,5962,5.2,TCID50,10,0,0,7,suckling mouse,2,"Wells, P.J.; Russell, R.C.; Cloonan, M.J.; Hueston, L.; Geary, M.J. Virus infection and vector competence of Aedes alternans (Westwood) (Diptera: Culicidae) for Ross River virus. Journal of the Australian Entomological Society 1994, 33, 373-375."
ae_alternans,5962,6.2,TCID50,10,0,0,6,NT,3,"Wells, P.J.; Russell, R.C.; Cloonan, M.J.; Hueston, L.; Geary, M.J. Virus infection and vector competence of Aedes alternans (Westwood) (Diptera: Culicidae) for Ross River virus. Journal of the Australian Entomological Society 1994, 33, 373-375."
ae_camptorhynchus,T48,5.2,PFU,3,0,0,4,suckling mouse,4,"Ballard, J.W.O.; Marshall, I.D. An investigation of the potential of Aedes camptorhynchus (Thom.) as a vector of Ross River virus. Australian Journal of Experimental Biology and Medical Science 1986, 64, 197-200."
ae_camptorhynchus,T48,5.2,PFU,4,0,0,4,suckling mouse,4,"Ballard, J.W.O.; Marshall, I.D. An investigation of the potential of Aedes camptorhynchus (Thom.) as a vector of Ross River virus. Australian Journal of Experimental Biology and Medical Science 1986, 64, 197-200."
ae_camptorhynchus,T48,5.2,PFU,5,25,1,4,suckling mouse,4,"Ballard, J.W.O.; Marshall, I.D. An investigation of the potential of Aedes camptorhynchus (Thom.) as a vector of Ross River virus. Australian Journal of Experimental Biology and Medical Science 1986, 64, 197-200."
ae_camptorhynchus,T48,5.2,PFU,6,35,2,7,suckling mouse,4,"Ballard, J.W.O.; Marshall, I.D. An investigation of the potential of Aedes camptorhynchus (Thom.) as a vector of Ross River virus. Australian Journal of Experimental Biology and Medical Science 1986, 64, 197-200."
ae_camptorhynchus,T48,5.2,PFU,7,50,2,4,suckling mouse,4,"Ballard, J.W.O.; Marshall, I.D. An investigation of the potential of Aedes camptorhynchus (Thom.) as a vector of Ross River virus. Australian Journal of Experimental Biology and Medical Science 1986, 64, 197-200."
ae_camptorhynchus,T48,5.2,PFU,9,100,4,4,suckling mouse,4,"Ballard, J.W.O.; Marshall, I.D. An investigation of the potential of Aedes camptorhynchus (Thom.) as a vector of Ross River virus. Australian Journal of Experimental Biology and Medical Science 1986, 64, 197-200."
ae_multiplex,B94/20,5.2,,0,0,0,12,suckling mouse,5,"Ryan, P.A.; Do, K.-A.; Kay, B.H. Definition of Ross River virus vectors at Maroochy Shire, Australia. Journal of Medical Entomology 2000, 37, 146-152."
ae_multiplex,B94/20,5.2,,8,0,0,12,suckling mouse,5,"Ryan, P.A.; Do, K.-A.; Kay, B.H. Definition of Ross River virus vectors at Maroochy Shire, Australia. Journal of Medical Entomology 2000, 37, 146-152."
ae_notoscriptus,RR5962,6.7,TCID50,3,17,1,6,suckling mouse,6,"Doggett, S.L.; Russell, R.C. Aedes notoscriptus can transmit inland and coastal isolates of Ross River and Barmah Forest viruses from New South Wales! Arbovirus Research in Australia 1997, 7, 79-81."
ae_notoscriptus,RR5962,6.7,TCID50,5,0,0,4,capillary tube,6,"Doggett, S.L.; Russell, R.C. Aedes notoscriptus can transmit inland and coastal isolates of Ross River and Barmah Forest viruses from New South Wales! Arbovirus Research in Australia 1997, 7, 79-81."
ae_notoscriptus,RR5962,6.7,TCID50,7,33,1,3,capillary tube,6,"Doggett, S.L.; Russell, R.C. Aedes notoscriptus can transmit inland and coastal isolates of Ross River and Barmah Forest viruses from New South Wales! Arbovirus Research in Australia 1997, 7, 79-81."
ae_notoscriptus,RR5962,6.7,TCID50,9,75,3,4,capillary tube,6,"Doggett, S.L.; Russell, R.C. Aedes notoscriptus can transmit inland and coastal isolates of Ross River and Barmah Forest viruses from New South Wales! Arbovirus Research in Australia 1997, 7, 79-81."
ae_notoscriptus,RR5962,6.7,TCID50,11,38,3,8,capillary tube,6,"Doggett, S.L.; Russell, R.C. Aedes notoscriptus can transmit inland and coastal isolates of Ross River and Barmah Forest viruses from New South Wales! Arbovirus Research in Australia 1997, 7, 79-81."
ae_notoscriptus,RR5962,6.7,TCID50,13,33,1,3,capillary tube,6,"Doggett, S.L.; Russell, R.C. Aedes notoscriptus can transmit inland and coastal isolates of Ross River and Barmah Forest viruses from New South Wales! Arbovirus Research in Australia 1997, 7, 79-81."
ae_notoscriptus,RR5962,6.7,TCID50,15,0,0,1,capillary tube,6,"Doggett, S.L.; Russell, R.C. Aedes notoscriptus can transmit inland and coastal isolates of Ross River and Barmah Forest viruses from New South Wales! Arbovirus Research in Australia 1997, 7, 79-81."
ae_notoscriptus,RR2186,6.6,TCID50,3,57,4,7,capillary tube,7,"Doggett, S.L.; Russell, R.C. Aedes notoscriptus can transmit inland and coastal isolates of Ross River and Barmah Forest viruses from New South Wales! Arbovirus Research in Australia 1997, 7, 79-81."
ae_notoscriptus,RR2186,6.6,TCID50,5,60,3,5,capillary tube,7,"Doggett, S.L.; Russell, R.C. Aedes notoscriptus can transmit inland and coastal isolates of Ross River and Barmah Forest viruses from New South Wales! Arbovirus Research in Australia 1997, 7, 79-81."
ae_notoscriptus,RR2186,6.6,TCID50,7,83,5,6,capillary tube,7,"Doggett, S.L.; Russell, R.C. Aedes notoscriptus can transmit inland and coastal isolates of Ross River and Barmah Forest viruses from New South Wales! Arbovirus Research in Australia 1997, 7, 79-81."
ae_notoscriptus,RR2186,6.6,TCID50,9,71,5,7,capillary tube,7,"Doggett, S.L.; Russell, R.C. Aedes notoscriptus can transmit inland and coastal isolates of Ross River and Barmah Forest viruses from New South Wales! Arbovirus Research in Australia 1997, 7, 79-81."
ae_notoscriptus,RR2186,6.6,TCID50,11,67,4,6,capillary tube,7,"Doggett, S.L.; Russell, R.C. Aedes notoscriptus can transmit inland and coastal isolates of Ross River and Barmah Forest viruses from New South Wales! Arbovirus Research in Australia 1997, 7, 79-81."
ae_notoscriptus,RR2186,6.6,TCID50,13,57,4,7,capillary tube,7,"Doggett, S.L.; Russell, R.C. Aedes notoscriptus can transmit inland and coastal isolates of Ross River and Barmah Forest viruses from New South Wales! Arbovirus Research in Australia 1997, 7, 79-81."
ae_notoscriptus,RR2186,6.6,TCID50,15,100,3,3,capillary tube,7,"Doggett, S.L.; Russell, R.C. Aedes notoscriptus can transmit inland and coastal isolates of Ross River and Barmah Forest viruses from New South Wales! Arbovirus Research in Australia 1997, 7, 79-81."
ae_notoscriptus,RR1693,6.5,CCID50,12,0,0,14,capillary tube,8,"Ryan, P.A.; Do, K.-A.; Kay, B.H. Definition of Ross River virus vectors at Maroochy Shire, Australia. Journal of Medical Entomology 2000, 37, 146-152."
ae_notoscriptus,B94/20,7.7,CCID50,7,0,0,10,suckling mouse,9,"Ryan, P.A.; Do, K.-A.; Kay, B.H. Definition of Ross River virus vectors at Maroochy Shire, Australia. Journal of Medical Entomology 2000, 37, 146-152."
ae_notoscriptus,B94/20,7.7,CCID50,10,0,0,13,suckling mouse,9,"Ryan, P.A.; Do, K.-A.; Kay, B.H. Definition of Ross River virus vectors at Maroochy Shire, Australia. Journal of Medical Entomology 2000, 37, 146-152."
ae_notoscriptus,B94/20,7.5,CCID50,4,0,0,21,suckling mouse,10,"Watson, T.M.; Kay, B.H. Vector competence of Aedes notoscriptus (Diptera: Culicidae) for Ross River virus in Queensland, Australia. Journal of Medical Entomology 1998, 35, 104-106."
ae_notoscriptus,B94/20,7.5,CCID50,5,0,0,22,suckling mouse,10,"Watson, T.M.; Kay, B.H. Vector competence of Aedes notoscriptus (Diptera: Culicidae) for Ross River virus in Queensland, Australia. Journal of Medical Entomology 1998, 35, 104-106."
ae_notoscriptus,B94/20,7.5,CCID50,7,0,0,15,suckling mouse,10,"Watson, T.M.; Kay, B.H. Vector competence of Aedes notoscriptus (Diptera: Culicidae) for Ross River virus in Queensland, Australia. Journal of Medical Entomology 1998, 35, 104-106."
ae_notoscriptus,B94/20,7.5,CCID50,9,7,1,15,suckling mouse,10,"Watson, T.M.; Kay, B.H. Vector competence of Aedes notoscriptus (Diptera: Culicidae) for Ross River virus in Queensland, Australia. Journal of Medical Entomology 1998, 35, 104-106."
ae_notoscriptus,B94/20,7.5,CCID50,12,13,2,15,suckling mouse,10,"Watson, T.M.; Kay, B.H. Vector competence of Aedes notoscriptus (Diptera: Culicidae) for Ross River virus in Queensland, Australia. Journal of Medical Entomology 1998, 35, 104-106."
ae_notoscriptus,B94/20,7.5,CCID50,14,13,2,15,suckling mouse,10,"Watson, T.M.; Kay, B.H. Vector competence of Aedes notoscriptus (Diptera: Culicidae) for Ross River virus in Queensland, Australia. Journal of Medical Entomology 1998, 35, 104-106."
ae_notoscriptus,B94/20,7.5,CCID50,17,0,0,7,suckling mouse,10,"Watson, T.M.; Kay, B.H. Vector competence of Aedes notoscriptus (Diptera: Culicidae) for Ross River virus in Queensland, Australia. Journal of Medical Entomology 1998, 35, 104-106."
ae_procax,B94/20,7.7,CCID50,0,0,0,44,suckling mouse,11,"Ryan, P.A.; Do, K.-A.; Kay, B.H. Definition of Ross River virus vectors at Maroochy Shire, Australia. Journal of Medical Entomology 2000, 37, 146-152."
ae_procax,B94/20,7.7,CCID50,9,64,28,44,suckling mouse,11,"Ryan, P.A.; Do, K.-A.; Kay, B.H. Definition of Ross River virus vectors at Maroochy Shire, Australia. Journal of Medical Entomology 2000, 37, 146-152."
ae_procax,B94/20,7.7,CCID50,19,93,13,14,suckling mouse,11,"Ryan, P.A.; Do, K.-A.; Kay, B.H. Definition of Ross River virus vectors at Maroochy Shire, Australia. Journal of Medical Entomology 2000, 37, 146-152."
ae_vigilax,B94/20,6.3,CCID50,2,0,0,10,Capillary tube,12,"Jeffery, J.A.L.; Ryan, P.A.; Lyons, S.A.; Kay, B.H. Vector competence of Coquillettidia linealis (Skuse) (Diptera: Culicidae) for Ross River and Barmah Forest viruses. Australian Journal of Entomology 2002, 41, 339-344."
ae_vigilax,B94/20,6.3,CCID50,4,10,1,10,Capillary tube,12,"Jeffery, J.A.L.; Ryan, P.A.; Lyons, S.A.; Kay, B.H. Vector competence of Coquillettidia linealis (Skuse) (Diptera: Culicidae) for Ross River and Barmah Forest viruses. Australian Journal of Entomology 2002, 41, 339-344."
ae_vigilax,B94/20,6.3,CCID50,6,40,4,10,Capillary tube,12,"Jeffery, J.A.L.; Ryan, P.A.; Lyons, S.A.; Kay, B.H. Vector competence of Coquillettidia linealis (Skuse) (Diptera: Culicidae) for Ross River and Barmah Forest viruses. Australian Journal of Entomology 2002, 41, 339-344."
ae_vigilax,B94/20,6.3,CCID50,8,60,6,10,Capillary tube,12,"Jeffery, J.A.L.; Ryan, P.A.; Lyons, S.A.; Kay, B.H. Vector competence of Coquillettidia linealis (Skuse) (Diptera: Culicidae) for Ross River and Barmah Forest viruses. Australian Journal of Entomology 2002, 41, 339-344."
ae_vigilax,B94/20,6.3,CCID50,10,30,3,10,Capillary tube,12,"Jeffery, J.A.L.; Ryan, P.A.; Lyons, S.A.; Kay, B.H. Vector competence of Coquillettidia linealis (Skuse) (Diptera: Culicidae) for Ross River and Barmah Forest viruses. Australian Journal of Entomology 2002, 41, 339-344."
ae_vigilax,B94/20,6.3,CCID50,12,25,2,8,Capillary tube,12,"Jeffery, J.A.L.; Ryan, P.A.; Lyons, S.A.; Kay, B.H. Vector competence of Coquillettidia linealis (Skuse) (Diptera: Culicidae) for Ross River and Barmah Forest viruses. Australian Journal of Entomology 2002, 41, 339-344."
ae_vigilax,T48,7.5,LD50,4,8,1,12,suckling mouse,13,"Kay, B. Three modes of transmission of Ross River virus by Aedes vigilax (Skuse). Australian Journal of Experimental Biology and Medical Science 1982, 60, 339-344."
ae_vigilax,T48,7.5,LD50,7,29,5,17,suckling mouse,13,"Kay, B. Three modes of transmission of Ross River virus by Aedes vigilax (Skuse). Australian Journal of Experimental Biology and Medical Science 1982, 60, 339-344."
ae_vigilax,T48,7.5,LD50,10,57,8,14,suckling mouse,13,"Kay, B. Three modes of transmission of Ross River virus by Aedes vigilax (Skuse). Australian Journal of Experimental Biology and Medical Science 1982, 60, 339-344."
ae_vigilax,T48,7.5,LD50,13,50,6,12,suckling mouse,13,"Kay, B. Three modes of transmission of Ross River virus by Aedes vigilax (Skuse). Australian Journal of Experimental Biology and Medical Science 1982, 60, 339-344."
ae_vigilax,388A Cairns,8.1,TCID50,8,47,9,19,Capillary tube,14,"Ramirez, A.L.; Hall-Mendelin, S.; Doggett, S.L.; Hewitson, G.R.; McMahon, J.L.; Ritchie, S.A.; van den Hurk, A.F. Mosquito excreta: A sample type with many potential applications for the investigation of Ross River virus and West Nile virus ecology. PLoS Negl Trop Dis 2018, 12, e0006771"
ae_vigilax,388A Cairns,8.1,TCID50,11,32,6,19,Capillary tube,14,"Ramirez, A.L.; Hall-Mendelin, S.; Doggett, S.L.; Hewitson, G.R.; McMahon, J.L.; Ritchie, S.A.; van den Hurk, A.F. Mosquito excreta: A sample type with many potential applications for the investigation of Ross River virus and West Nile virus ecology. PLoS Negl Trop Dis 2018, 12, e0006771"
ae_vigilax,388A Cairns,8.1,TCID50,15,29,5,17,Capillary tube,14,"Ramirez, A.L.; Hall-Mendelin, S.; Doggett, S.L.; Hewitson, G.R.; McMahon, J.L.; Ritchie, S.A.; van den Hurk, A.F. Mosquito excreta: A sample type with many potential applications for the investigation of Ross River virus and West Nile virus ecology. PLoS Negl Trop Dis 2018, 12, e0006771"
ae_vigilax,B94/20,7.7,CCID50,4,0,0,22,suckling mouse,15,"Ryan, P.A.; Do, K.-A.; Kay, B.H. Definition of Ross River virus vectors at Maroochy Shire, Australia. Journal of Medical Entomology 2000, 37, 146-152."
ae_vigilax,B94/20,7.7,CCID50,7,45,5,11,suckling mouse,15,"Ryan, P.A.; Do, K.-A.; Kay, B.H. Definition of Ross River virus vectors at Maroochy Shire, Australia. Journal of Medical Entomology 2000, 37, 146-152."
ae_vigilax,B94/20,7.7,CCID50,8,40,4,10,suckling mouse,15,"Ryan, P.A.; Do, K.-A.; Kay, B.H. Definition of Ross River virus vectors at Maroochy Shire, Australia. Journal of Medical Entomology 2000, 37, 146-152."
ae_vigilax,B94/20,5.1,TCID50,10,30,6,20,suckling mouse,16,"Jennings, C.D.; Kay, B.H. Dissemination barriers to Ross River virus in Aedes vigilax and the effects of larval nutrition on their expression. Med Vet Entomol 1999, 13, 431-438."
ae_vigilax,B94/20,6.4,TCID50,10,75,15,20,suckling mouse,17,"Jennings, C.D.; Kay, B.H. Dissemination barriers to Ross River virus in Aedes vigilax and the effects of larval nutrition on their expression. Med Vet Entomol 1999, 13, 431-438."
ae_vigilax,B94/20,7.4,TCID50,10,88,71,81,suckling mouse,18,"Jennings, C.D.; Kay, B.H. Dissemination barriers to Ross River virus in Aedes vigilax and the effects of larval nutrition on their expression. Med Vet Entomol 1999, 13, 431-438."
ae_vigilax,B94/20,6.6,TCID50,30,86,6,7,suckling mouse,19,"Kay, B.H.; Jennings, C.D. Enhancement or modulation of the vector competence of Ochlerotatus vigilax (Diptera: Culicidae) for ross river virus by temperature. Journal of Medical Entomology 2002, 39, 99-105."
ae_vigilax,B94/20,6.6,TCID50,25,100,8,8,suckling mouse,19,"Kay, B.H.; Jennings, C.D. Enhancement or modulation of the vector competence of Ochlerotatus vigilax (Diptera: Culicidae) for ross river virus by temperature. Journal of Medical Entomology 2002, 39, 99-105."
ae_vigilax,B94/20,6.6,TCID50,20,75,3,4,suckling mouse,19,"Kay, B.H.; Jennings, C.D. Enhancement or modulation of the vector competence of Ochlerotatus vigilax (Diptera: Culicidae) for ross river virus by temperature. Journal of Medical Entomology 2002, 39, 99-105."
cq_linealis,B94/20,6.3,CCID50,2,4,1,25,Capillary tube,20,"Jeffery, J.A.L.; Ryan, P.A.; Lyons, S.A.; Kay, B.H. Vector competence of Coquillettidia linealis (Skuse) (Diptera: Culicidae) for Ross River and Barmah Forest viruses. Australian Journal of Entomology 2002, 41, 339-344."
cq_linealis,B94/20,6.3,CCID50,4,64,16,25,Capillary tube,20,"Jeffery, J.A.L.; Ryan, P.A.; Lyons, S.A.; Kay, B.H. Vector competence of Coquillettidia linealis (Skuse) (Diptera: Culicidae) for Ross River and Barmah Forest viruses. Australian Journal of Entomology 2002, 41, 339-344."
cq_linealis,B94/20,6.3,CCID50,6,80,20,25,Capillary tube,20,"Jeffery, J.A.L.; Ryan, P.A.; Lyons, S.A.; Kay, B.H. Vector competence of Coquillettidia linealis (Skuse) (Diptera: Culicidae) for Ross River and Barmah Forest viruses. Australian Journal of Entomology 2002, 41, 339-344."
cq_linealis,B94/20,6.3,CCID50,8,92,23,25,Capillary tube,20,"Jeffery, J.A.L.; Ryan, P.A.; Lyons, S.A.; Kay, B.H. Vector competence of Coquillettidia linealis (Skuse) (Diptera: Culicidae) for Ross River and Barmah Forest viruses. Australian Journal of Entomology 2002, 41, 339-344."
cq_linealis,B94/20,6.3,CCID50,10,92,23,25,Capillary tube,20,"Jeffery, J.A.L.; Ryan, P.A.; Lyons, S.A.; Kay, B.H. Vector competence of Coquillettidia linealis (Skuse) (Diptera: Culicidae) for Ross River and Barmah Forest viruses. Australian Journal of Entomology 2002, 41, 339-344."
cq_linealis,B94/20,6.3,CCID50,12,68,17,25,Capillary tube,20,"Jeffery, J.A.L.; Ryan, P.A.; Lyons, S.A.; Kay, B.H. Vector competence of Coquillettidia linealis (Skuse) (Diptera: Culicidae) for Ross River and Barmah Forest viruses. Australian Journal of Entomology 2002, 41, 339-344."
cx_annulirostris,B94/20,7.7,CCID50,8,31,5,16,suckling mouse,21,"Ryan, P.A.; Do, K.-A.; Kay, B.H. Definition of Ross River virus vectors at Maroochy Shire, Australia. Journal of Medical Entomology 2000, 37, 146-152."
cx_annulirostris,B94/20,7.7,CCID50,12,8,1,13,suckling mouse,21,"Ryan, P.A.; Do, K.-A.; Kay, B.H. Definition of Ross River virus vectors at Maroochy Shire, Australia. Journal of Medical Entomology 2000, 37, 146-152."
cx_annulirostris,B94/20,7.7,CCID50,20,46,6,13,suckling mouse,21,"Ryan, P.A.; Do, K.-A.; Kay, B.H. Definition of Ross River virus vectors at Maroochy Shire, Australia. Journal of Medical Entomology 2000, 37, 146-152."
cx_austraclicus,B94/20,7.7,CCID50,7,55,6,11,suckling mouse,22,"Ryan, P.A.; Do, K.-A.; Kay, B.H. Definition of Ross River virus vectors at Maroochy Shire, Australia. Journal of Medical Entomology 2000, 37, 146-152."
cx_austraclicus,B94/20,7.7,CCID50,12,59,10,17,suckling mouse,22,"Ryan, P.A.; Do, K.-A.; Kay, B.H. Definition of Ross River virus vectors at Maroochy Shire, Australia. Journal of Medical Entomology 2000, 37, 146-152."
cx_sitiens,T48,9.3,TCID50,4,10,2,21,chicks,23,"Fanning, I.D.; Mottram, P.; Kay, B.H. Studies on the vector competence and autogeny in Culex sitiens Wiedemann (Diptera: Culicidae). Journal of the Australian Entomological Society 1992, 31, 249-253."
cx_sitiens,T48,9.3,TCID50,8,10,2,20,chicks,23,"Fanning, I.D.; Mottram, P.; Kay, B.H. Studies on the vector competence and autogeny in Culex sitiens Wiedemann (Diptera: Culicidae). Journal of the Australian Entomological Society 1992, 31, 249-253."
cx_sitiens,T48,9.3,TCID50,11,25,5,20,chicks,23,"Fanning, I.D.; Mottram, P.; Kay, B.H. Studies on the vector competence and autogeny in Culex sitiens Wiedemann (Diptera: Culicidae). Journal of the Australian Entomological Society 1992, 31, 249-253."
cx_sitiens,T48,9.3,TCID50,14,30,4,12,chicks,23,"Fanning, I.D.; Mottram, P.; Kay, B.H. Studies on the vector competence and autogeny in Culex sitiens Wiedemann (Diptera: Culicidae). Journal of the Australian Entomological Society 1992, 31, 249-253."
cx_sitiens,T48,9.3,TCID50,18,20,2,11,chicks,23,"Fanning, I.D.; Mottram, P.; Kay, B.H. Studies on the vector competence and autogeny in Culex sitiens Wiedemann (Diptera: Culicidae). Journal of the Australian Entomological Society 1992, 31, 249-253."
ma_septempunctata,RR102MP,5.7,CCID50,5,13.3,2,15,Capillary tube,24,"Webb, C.E.; Doggett, S.L.; Ritchie, S.A.; Russell, R.C. Vector competence of three Australian mosquitoes, Verrallina carmenti, Verraullina lineata, and Mansonia septempunctata (Diptera: Culicidae), for Ross River virus. J Med Entomol 2008, 45, 737-740."
ma_uniformis,B94/20,7.7,CCID50,11,60,3,5,suckling mouse,25,"Ryan, P.A.; Do, K.-A.; Kay, B.H. Definition of Ross River virus vectors at Maroochy Shire, Australia. Journal of Medical Entomology 2000, 37, 146-152."
ve_carmenti,RR2186,4.3,CCID50,7,3.1,1,32,Capillary tube,26,"Webb, C.E.; Doggett, S.L.; Ritchie, S.A.; Russell, R.C. Vector competence of three Australian mosquitoes, Verrallina carmenti, Verraullina lineata, and Mansonia septempunctata (Diptera: Culicidae), for Ross River virus. J Med Entomol 2008, 45, 737-740."
ve_carmenti,RR2186,5.3,CCID50,7,8.3,2,24,Capillary tube,27,"Webb, C.E.; Doggett, S.L.; Ritchie, S.A.; Russell, R.C. Vector competence of three Australian mosquitoes, Verrallina carmenti, Verraullina lineata, and Mansonia septempunctata (Diptera: Culicidae), for Ross River virus. J Med Entomol 2008, 45, 737-740."
ve_carmenti,RR2186,6.3,CCID50,7,3.1,1,32,Capillary tube,28,"Webb, C.E.; Doggett, S.L.; Ritchie, S.A.; Russell, R.C. Vector competence of three Australian mosquitoes, Verrallina carmenti, Verraullina lineata, and Mansonia septempunctata (Diptera: Culicidae), for Ross River virus. J Med Entomol 2008, 45, 737-740."
ve_carmenti,RR2186,7.3,CCID50,7,8.3,2,24,Capillary tube,29,"Webb, C.E.; Doggett, S.L.; Ritchie, S.A.; Russell, R.C. Vector competence of three Australian mosquitoes, Verrallina carmenti, Verraullina lineata, and Mansonia septempunctata (Diptera: Culicidae), for Ross River virus. J Med Entomol 2008, 45, 737-740."
ve_carmenti,RR102MP,7.6,CCID50,7,27.5,11,40,Capillary tube,30,"Webb, C.E.; Doggett, S.L.; Ritchie, S.A.; Russell, R.C. Vector competence of three Australian mosquitoes, Verrallina carmenti, Verraullina lineata, and Mansonia septempunctata (Diptera: Culicidae), for Ross River virus. J Med Entomol 2008, 45, 737-740."
ve_carmenti,RR2186,8.3,CCID50,7,9.1,3,33,Capillary tube,31,"Webb, C.E.; Doggett, S.L.; Ritchie, S.A.; Russell, R.C. Vector competence of three Australian mosquitoes, Verrallina carmenti, Verraullina lineata, and Mansonia septempunctata (Diptera: Culicidae), for Ross River virus. J Med Entomol 2008, 45, 737-740."
ve_funerea,B94/20,7.7,CCID50,7,39,9,23,suckling mouse,32,"Ryan, P.A.; Do, K.-A.; Kay, B.H. Definition of Ross River virus vectors at Maroochy Shire, Australia. Journal of Medical Entomology 2000, 37, 146-152."
ve_funerea,B94/20,7.7,CCID50,8,58,7,12,suckling mouse,32,"Ryan, P.A.; Do, K.-A.; Kay, B.H. Definition of Ross River virus vectors at Maroochy Shire, Australia. Journal of Medical Entomology 2000, 37, 146-152."
ve_funerea,B94/20,7.7,CCID50,9,25,5,20,suckling mouse,32,"Ryan, P.A.; Do, K.-A.; Kay, B.H. Definition of Ross River virus vectors at Maroochy Shire, Australia. Journal of Medical Entomology 2000, 37, 146-152."
ve_lineata,RR102MP,7.6,CCID50,7,19,19,99,Capillary tube,33,"Webb, C.E.; Doggett, S.L.; Ritchie, S.A.; Russell, R.C. Vector competence of three Australian mosquitoes, Verrallina carmenti, Verraullina lineata, and Mansonia septempunctata (Diptera: Culicidae), for Ross River virus. J Med Entomol 2008, 45, 737-740."
